id,brand,name,year,price,Город,"Объем двигателя, л",Кузов,Пробег,Коробка передач,Цвет,Привод,Есть доставка
1210850,Daewoo,Damas,2003,3800,Музрабадский район,,,200000.0,механика,зеленый,задний привод,
1210849,Kia,Carnival,1998,6000,Термез,2.4 (газ-бензин),минивэн,,механика,,,
1210841,Chevrolet,"Matiz,",2010,3700,Самарканд,0.8 (бензин),хэтчбек,200000.0,механика,синий,передний привод,Да
1183159,Chevrolet,"Nexia 2,",2009,5500,Ташкент,1.5 (газ-бензин),седан,398000.0,механика,белый,передний привод,Да
1210847,ВАЗ (Lada),2101,1975,965,Бухара,,седан,,механика,,,
1210839,Chevrolet,"Nexia 2,",2014,6800,Бухара,1.6 (газ-бензин),седан,50.0,механика,,передний привод,
1210831,Chevrolet,"Nexia 3,",2017,8007,Термез,1.5 (газ-бензин),седан,70000.0,механика,белый,полный привод,
1210830,Kia,Carnival,1998,6000,Термез,2.4 (газ-бензин),минивэн,,механика,,,
1210187,Daewoo,Tico,1998,3000,Алтыарыкский район,1.2 (газ-бензин),хэтчбек,399700.0,механика,золотистый,передний привод,
1210832,Daewoo,Nexia,1999,3000,Ташкент,,,300000.0,механика,белый,,
1210829,Mercedes-Benz,E 200,1997,7200,Ташкент,2 (бензин),седан,345000.0,механика,черный,задний привод,
1210818,Chevrolet,"Lacetti,",2015,10000,Термез,1.8 (бензин),седан,100000.0,механика,серый,передний привод,
1210804,Chevrolet,Damas,2019,7612,Навои,,,25000.0,механика,белый,задний привод,
1210827,Chevrolet,"Nexia 2,",2014,6500,Ташкент,1.5 (газ-бензин),седан,12500.0,механика,мокрый асфальт,передний привод,
1210822,Chevrolet,"Cobalt,",2020,10000,Бухара,1.5 (бензин),седан,4000.0,механика,белый,передний привод,Да
1210812,Chevrolet,"Spark,",2016,6500,Ташкент,1.3 (бензин),хэтчбек,158000.0,механика,белый,передний привод,
1210820,ВАЗ (Lada),2106,1988,1447,Ташкент,,,,механика,,,
1188019,Daewoo,Matiz (Standart),2007,3376,Шаватский район,,седан,95.0,механика,белый,передний привод,Да
1140723,Chevrolet,"Matiz,",2010,4000,Ташкент,0.8 (газ-бензин),хэтчбек,397000.0,механика,бронза,передний привод,
857976,Daewoo,Matiz (Standart),2009,3800,Фергана,,,,механика,белый,передний привод,
1183308,Daewoo,Tico,1998,2100,Самарканд,,,,механика,белый,передний привод,
1160645,Chevrolet,"Nexia 2,",2016,7000,Навои,1.6 (газ-бензин),седан,48000.0,механика,,передний привод,
1185428,Москвич,АЗЛК 2137 Комби,1979,1544,Наманган,,пикап,,механика,голубой,задний привод,
1150543,Chevrolet,Damas,2020,8007,Хивинский район,,микровэн,3500.0,механика,белый,,
1150551,Chevrolet,"Lacetti,",2019,6500,Сарыасийский район,1.6 (бензин),седан,,автомат,,передний привод,
547844,Daewoo,Nexia,1998,3859,Денау,,седан,,механика,белый,передний привод,
751474,Chevrolet,"Spark,",2012,5700,Наманган,1.3 (бензин),хэтчбек,,механика,,передний привод,
1150536,Chevrolet,"Spark,",2020,7718,Хивинский район,1.2 (бензин),хэтчбек,,механика,,передний привод,
1195899,Chevrolet,"Malibu,",2015,16500,Самарканд,3.2 (бензин),седан,25000.0,механика,белый,передний привод,
1195898,Chevrolet,"Nexia 2,",2009,3800,Куйичирчикский район,1.5 (газ-бензин),седан,,механика,белый,передний привод,
1195881,Chevrolet,"Nexia 2,",2016,6300,Наманган,1.6 (газ-бензин),седан,125000.0,механика,белый,передний привод,
1195894,Ford,Escort,1995,3000,Ахангаран,1.5 (газ),фургон,53400.0,механика,белый,передний привод,
1195889,Daewoo,Matiz (Standart),2007,3700,Коканд,,,196000.0,механика,белый,,
1195869,Chevrolet,"Nexia 2,",2013,7500,Хивинский район,1.6 (бензин),седан,6750.0,механика,белый,передний привод,
864552,Москвич,2141,1990,3000,Наманган,1.5 (газ-бензин),хэтчбек,,механика,фиолетовый,передний привод,
1195887,ВАЗ (Lada),2106,1988,1254,Камашинский район,,седан,,механика,белый,,
1195882,Daewoo,Nexia,1999,3600,Карши,,,,механика,синий,,
1195874,Daewoo,Magnus,2001,4300,Самарканд,2 (газ),седан,350000.0,механика,белый,передний привод,
1195879,Chevrolet,"Nexia 3,",2017,8500,Ташкент,1.5 (бензин),седан,53000.0,автомат,белый,передний привод,
1195878,Daewoo,Tico,1999,2200,Вабкентский район,,седан,,механика,зеленый,передний привод,
1160609,Chevrolet,"Cobalt,",2013,6500,Зарбдарский район,1.5 (бензин),седан,420000.0,механика,черный,передний привод,
748015,Chevrolet,"Spark,",2020,7525,Ташкент,1.3 (бензин),хэтчбек,,механика,красный,передний привод,
1183152,Chevrolet,"Spark,",2015,6500,Ташкент,1.3 (бензин),хэтчбек,60000.0,механика,белый,передний привод,
1183130,ВАЗ (Lada),2106,1984,1800,Ташкент,9 (бензин),седан,41600.0,механика,белый,задний привод,
1189619,Chevrolet,"Lacetti,",2015,8200,Ташкент,1.5 (бензин),седан,96000.0,автомат,синий,передний привод,
1183143,Daewoo,Nexia,1998,4000,Чирчик,,седан,440.0,механика,белый,передний привод,
1183147,Chevrolet,Malibu 2,2019,27500,Ташкент,2.4 (бензин),седан,10000.0,автомат,белый,передний привод,
1183141,Chevrolet,"Nexia 2,",2016,8000,Нарынский район,1.6 (газ),седан,62785.0,механика,,передний привод,
1183145,Chevrolet,"Nexia 2,",2018,6500,Фергана,1.6 (бензин),седан,100.0,механика,,передний привод,
1183142,ВАЗ (Lada),2101,1983,1929,Алтынсайский район,1.35 (газ),седан,999.0,механика,белый,задний привод,
1130792,Chevrolet,Cruze,2009,10000,Карши,1.6 (бензин),купе,200000.0,механика,белый,полный привод,
1183139,Chevrolet,Malibu 2,2019,30000,Ташкент,2.4 (бензин),седан,,автомат,белый,передний привод,
1183132,Chevrolet,Malibu 2,2019,25000,Ташкент,1.5 (бензин),седан,3000.0,автомат,белый,передний привод,
1183133,Daewoo,Nexia,2009,5306,Нукус,,,,механика,,,
1183127,Chevrolet,"Lacetti,",2020,14000,Фергана,1.6 (бензин),седан,,автомат,черный,передний привод,
1200202,Chevrolet,"Spark,",2017,7300,Ташкент,1.3 (бензин),хэтчбек,40000.0,автомат,мокрый асфальт,передний привод,Да
1162358,Daewoo,Tico,1996,2100,Коканд,,седан,553900.0,механика,белый,передний привод,
1183118,Chevrolet,"Spark,",2019,7900,Ташкент,1.3 (бензин),хэтчбек,13000.0,автомат,белый,передний привод,
1183101,Daewoo,Nexia,2006,4534,Самарканд,,седан,134000.0,механика,серебристый,передний привод,
1171184,ВАЗ (Lada),2106,1985,1447,Кушрабатский район,,седан,,механика,,,
1109321,Kia,Carnival,2006,8900,Ханабад,2.9 (дизель),минивэн,260000.0,автомат,белый,передний привод,Да
1160904,ВАЗ (Lada),2104,1989,3500,Самарканд,1.3 (бензин),универсал,90000.0,механика,бежевый,задний привод,
1140648,Chevrolet,Tacuma,2007,5000,Наманган,1.6 (газ-бензин),хэтчбек,250000.0,механика,черный,передний привод,
1140707,Chevrolet,"Nexia 2,",2014,5500,Карши,1.5 (газ),седан,14706.0,механика,жёлтый,передний привод,
1140703,Daewoo,Tico,1999,2200,Самарканд,,седан,,механика,,,
1140668,Chevrolet,"Lacetti,",2009,7300,Самарканд,1.8 (газ-бензин),седан,15000.0,механика,белый,передний привод,Да
1140700,ВАЗ (Lada),2106,1990,2412,Чиракчинский район,7.7 (газ),седан,2555555.0,механика,белый,задний привод,
1140697,Opel,Astra,1996,3700,Андижан,1.8 (газ-бензин),седан,274000.0,механика,белый,передний привод,
1140684,ВАЗ (Lada),2106,1981,2500,Алмалык,1.6 (газ-бензин),седан,,механика,молочный цвет,,
1140683,Chevrolet,"Spark,",2020,7235,Ангрен,1.3 (бензин),хэтчбек,1300.0,механика,белый,передний привод,
838986,ВАЗ (Lada),Vesta,2019,12059,Ташкент,1.8 (бензин),хэтчбек,18000.0,механика,мокрый асфальт,передний привод,
1119995,ВАЗ (Lada),2107,2011,4148,Навои,,,62000.0,механика,,,
